code,group1,group2,description
X60,adversity,suicide,Intentional self-poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics
X61,adversity,suicide,Intentional self-poisoning by and exposure to antiepileptic sedative-hypnotic antiparkinsonism and psychotropic drugs not elsewhere classified
X62,adversity,suicide,Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified
X63,adversity,suicide,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system
X64,adversity,suicide,Intentional self-poisoning by and exposure to other and unspecified drugs medicaments and biological substances
X65,adversity,suicide,Intentional self-poisoning by and exposure to alcohol
X66,adversity,suicide,Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours
X67,adversity,suicide,Intentional self-poisoning by and exposure to other gases and vapours
X68,adversity,suicide,Intentional self-poisoning by and exposure to pesticides
X69,adversity,suicide,Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances
X70,adversity,suicide,Intentional self-harm by hanging strangulation and suffocation
X71,adversity,suicide,Intentional self-harm by drowning and submersion
X72,adversity,suicide,Intentional self-harm by handgun discharge
X73,adversity,suicide,Intentional self-harm by rifle shotgun and larger firearm discharge
X74,adversity,suicide,Intentional self-harm by other and unspecified firearm discharge
X75,adversity,suicide,Intentional self-harm by explosive material
X76,adversity,suicide,Intentional self-harm by smoke fire and flames
X77,adversity,suicide,Intentional self-harm by steam hot vapours and hot objects
X78,adversity,suicide,Intentional self-harm by sharp object
X79,adversity,suicide,Intentional self-harm by blunt object
X80,adversity,suicide,Intentional self-harm by jumping from a high place
X81,adversity,suicide,Intentional self-harm by jumping or lying before moving object
X82,adversity,suicide,Intentional self-harm by crashing of motor vehicle
X83,adversity,suicide,Intentional self-harm by other specified means
X84,adversity,suicide,Intentional self-harm by unspecified means
Y10,adversity,suicide,Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent
Y11,adversity,suicide,Poisoning by and exposure to antiepileptic sedative-hypnotic antiparkinsonism and psychotropic drugs not elsewhere classified undetermined intent
Y12,adversity,suicide,Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified undetermined intent
Y13,adversity,suicide,Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent
Y14,adversity,suicide,Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent
Y15,adversity,suicide,Poisoning by and exposure to alcohol undetermined intent
Y16,adversity,suicide,Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent
Y17,adversity,suicide,Poisoning by and exposure to other gases and vapours undetermined intent
Y18,adversity,suicide,Poisoning by and exposure to pesticides undetermined intent
Y19,adversity,suicide,Poisoning by and exposure to other and unspecified chemicals and noxious substances undetermined intent
Y20,adversity,suicide,Hanging strangulation and suffocation undetermined intent
Y21,adversity,suicide,Drowning and submersion undetermined intent
Y22,adversity,suicide,Handgun discharge undetermined intent
Y23,adversity,suicide,Rifle shotgun and larger firearm discharge undetermined intent
Y24,adversity,suicide,Other and unspecified firearm discharge undetermined intent
Y25,adversity,suicide,Contact with explosive material undetermined intent
Y26,adversity,suicide,Exposure to smoke fire and flames undetermined intent
Y27,adversity,suicide,Contact with steam hot vapours and hot objects undetermined intent
Y28,adversity,suicide,Contact with sharp object undetermined intent
Y29,adversity,suicide,Contact with blunt object undetermined intent
Y30,adversity,suicide,Falling jumping or pushed from a high place undetermined intent
Y31,adversity,suicide,Falling lying or running before or into moving object undetermined intent
Y32,adversity,suicide,Crashing of motor vehicle undetermined intent
Y33.0,adversity,suicide,Other specified events undetermined intent
Y33.1,adversity,suicide,Other specified events undetermined intent
Y33.2,adversity,suicide,Other specified events undetermined intent
Y33.3,adversity,suicide,Other specified events undetermined intent
Y33.4,adversity,suicide,Other specified events undetermined intent
Y33.5,adversity,suicide,Other specified events undetermined intent
Y33.6,adversity,suicide,Other specified events undetermined intent
Y33.7,adversity,suicide,Other specified events undetermined intent
Y33.8,adversity,suicide,Other specified events undetermined intent
Y34,adversity,suicide,Unspecified event undetermined intent
T73,adversity,homicide,Effects of other deprivation
T74,adversity,homicide,Maltreatment syndromes
Y04,adversity,homicide,Assault by bodily force
Y05,adversity,homicide,Sexual assault by bodily force
Y06,adversity,homicide,Neglect and abandonment
Y07,adversity,homicide,Other maltreatment
X86,adversity,homicide,Assault by corrosive substance
X87,adversity,homicide,Assault by pesticides
X88,adversity,homicide,Assault by gases and vapours
X89,adversity,homicide,Assault by other specified chemicals and noxious substances
X90,adversity,homicide,Assault by unspecified chemical or noxious substance
X91,adversity,homicide,Assault by hanging strangulation and suffocation
X92,adversity,homicide,Assault by drowning and submersion
X93,adversity,homicide,Assault by handgun discharge
X94,adversity,homicide,Assault by rifle shotgun and larger firearm discharge
X95,adversity,homicide,Assault by other and unspecified firearm discharge
X96,adversity,homicide,Assault by explosive material
X97,adversity,homicide,Assault by smoke fire and flames
X98,adversity,homicide,Assault by steam hot vapours and hot objects
X99,adversity,homicide,Assault by sharp object
Y01,adversity,homicide,Assault by pushing from high place
Y02,adversity,homicide,Assault by pushing or placing victim before moving object
Y03,adversity,homicide,Assault by crashing of motor vehicle
Y04,adversity,homicide,Assault by bodily force
Y05,adversity,homicide,Sexual assault by bodily force
Y06,adversity,homicide,Neglect and abandonment
Y07,adversity,homicide,Other maltreatment
Y08,adversity,homicide,Assault by other specified means
Y09,adversity,homicide,Assault by unspecified means
U50.9,adversity,homicide,temporary code for underlying cause of death until final information becomes available
E24.4,adversity,alcohol,Alcohol-induced pseudo-Cushing syndrome
F10,adversity,alcohol,Mental and behavioural disorders due to use of alcohol
G31.2,adversity,alcohol,Degeneration of nervous system due to alcohol
G62.1,adversity,alcohol,Alcoholic polyneuropathy
G72.1,adversity,alcohol,Alcoholic myopathy
I42.6,adversity,alcohol,Alcoholic cardiomyopathy
K29.2,adversity,alcohol,Alcoholic gastritis
K70,adversity,alcohol,Alcoholic liver disease
K85.2,adversity,alcohol,Alcohol-induced acute pancreatitis
K86.0,adversity,alcohol,Alcohol-induced chronic pancreatitis
Q86.0,adversity,alcohol,Fetal alcohol syndrome (dysmorphic)
R78.0,adversity,alcohol,Finding of alcohol in blood
X45,adversity,alcohol,Accidental poisoning by and exposure to alcohol
F11,adversity,drug,Mental and behavioural disorders due to use of opioids
F12,adversity,drug,Mental and behavioural disorders due to use of cannabinoids
F13,adversity,drug,Mental and behavioural disorders due to use of sedatives or hypnotics
